village_id,name,population,latitude,longitude
1,Village_1,1830,17.331544404427092,78.388873605321
2,Village_2,3925,17.333269888935604,78.40662065185734
3,Village_3,4095,17.373196053168442,78.56298642568372
4,Village_4,4306,17.351884924987736,78.52582393091514
5,Village_5,1410,17.288982457479104,78.55451132266333
6,Village_6,4300,17.314636594323197,78.43834981189467
7,Village_7,1946,17.446101058302336,78.5328943089948
8,Village_8,1715,17.35633161674434,78.50664941801709
9,Village_9,4003,17.32230995078292,78.48680661576122
10,Village_10,2710,17.32945656618148,78.55656478948653
11,Village_11,2130,17.421464635243467,78.4349924265458
12,Village_12,1056,17.360471385715233,78.4505568303436
13,Village_13,4552,17.4737070856821,78.51792420980097
14,Village_14,4749,17.333371948604853,78.39314348232874
15,Village_15,2111,17.447083683402806,78.54095447880204
16,Village_16,255,17.335632805644906,78.44846887456606
17,Village_17,369,17.345578282437717,78.49992727545829
18,Village_18,3187,17.389850022425207,78.40315879617312
19,Village_19,769,17.34969401683299,78.51120895951709
20,Village_20,1624,17.46489335972718,78.45277692196134
21,Village_21,4835,17.315962423209545,78.45692156470167
22,Village_22,2142,17.33207428923487,78.56581147791205
23,Village_23,2233,17.45373028951968,78.4058231513182
24,Village_24,1446,17.295560602082777,78.50904493899681
25,Village_25,4000,17.399795186346832,78.52396823493275
26,Village_26,1436,17.31130007479841,78.5276644309789
27,Village_27,368,17.418487945264715,78.41800784643762
28,Village_28,1049,17.447308205114325,78.5802232070126
29,Village_29,1123,17.358660746277177,78.40323375865798
30,Village_30,4675,17.364679653662385,78.46158243552557
31,Village_31,3177,17.39494824605775,78.53771282453172
32,Village_32,3664,17.320220564336125,78.58577665971367
33,Village_33,742,17.376138213935878,78.57849010905757
34,Village_34,1993,17.326213237102007,78.50918544535213
35,Village_35,753,17.345388640909448,78.42601125170295
36,Village_36,408,17.481569997862884,78.44129053350518
37,Village_37,4167,17.348325059436252,78.58181750487412
38,Village_38,4825,17.412447120466634,78.45520183120829
39,Village_39,2910,17.36283571388672,78.42257674943876
40,Village_40,4344,17.328009529546517,78.52310950661114
41,Village_41,4396,17.465760147446446,78.58146149759959
42,Village_42,4468,17.371541882043818,78.41031741356682
43,Village_43,3646,17.468294342812634,78.40941520957432
44,Village_44,1283,17.41997760241976,78.584555468175
45,Village_45,2139,17.300884046411486,78.45688272458636
46,Village_46,2957,17.474883931673443,78.46708959106542
47,Village_47,4648,17.40004607444269,78.49314797618423
48,Village_48,368,17.441631625996568,78.52295895772836
49,Village_49,3318,17.417705547923944,78.48930941607624
50,Village_50,2527,17.343117617714388,78.39532547032698
